postcode,long,lat
TW9 3AE,-0.291198,51.485272
EC1A 1NL,-0.105540330316742,51.5211698823529
NN17 3BB,-0.553233,52.573666
CO2 7SZ,0.901885,51.879693
EH6 5PY,-3.185338,55.969986
M90 5PZ,-2.288587,53.361875
OX11 0QG,-1.310979,51.5835
E14 4PH,-0.022078,51.504513
WA4 4GB,-2.57620340298508,53.365798336887
NG1 6AZ,-1.152097,52.954692
EH13 9QW,-3.23938,55.901757
PA34 4NH,-5.472458,56.404507
TA6 4YS,-3.000909,51.13513
KY11 2BX,-3.438717,56.02902
EH3 7LU,-3.214122,55.949273
SW1A 2AA,-0.127695,51.50354
BB7 4TS,-2.389076,53.999468
PO9 2AS,-0.982811,50.856081
WA8 0QR,-2.733862,53.354554
TW6 2LA,-0.448716,51.480358
AB10 1SH,-2.106341,57.145601
DD1 4QB,-2.976984,56.455819
SW18 2BQ,-0.187042,51.451335
SY21 7AP,-3.144454,52.65806
LL57 4DF,-4.179789,53.206975
NG9 6GX,-1.243425,52.904742
CT20 3HF,1.138271,51.077081
HR4 0DD,-2.719496,52.054574
HR9 7AN,-2.579563,51.914837
EH17 7SA,-3.139681,55.909163
LS28 8HH,-1.693624,53.804381
CT20 2RH,1.1637897556391,51.0798203759399
DA12 1DF,0.372449,51.440914
ME12 1PD,0.759138,51.440119
NW9 5JE,-0.242612,51.594436
IP12 1AJ,1.319979,52.094016
PE1 1HF,-0.242008,52.571459
PE13 1AN,0.160033,52.666634
BN21 3XX,0.281692,50.771535
TN40 1QH,0.471152,50.842955
EX23 8BT,-4.54628,50.831182
PL14 3AG,-4.462679,50.454304
PL15 8BQ,-4.360729,50.638420000000004
PL25 5TY,-4.791062,50.337639
PL31 2JB,-4.722651,50.471535
TQ1 3JQ,-3.531298,50.468494
TQ12 2PG,-3.608769,50.531484
TQ5 8NQ,-3.519546,50.393299
TQ9 5EZ,-3.685027,50.427637
TR10 8SB,-5.101562,50.169062
TR13 8AG,-5.271554,50.10053
TR15 1AL,-5.230633,50.234785
TR18 2NP,-5.539174,50.1187
TR7 1BY,-5.080358,50.413817
DE55 7AF,-1.390174,53.096987
DE7 8TU,-1.308887,52.968391
CB11 3NN,0.199205,51.947138
TW13 4NP,-0.434413,51.441717
HG4 2RB,-1.56678549591837,54.1568657020408
DL93LR,-1.724499,54.371759
SW1P 2AA,-0.129328,51.494636
PO10 8DU,-0.910007,50.814885
WS1 1RP,-1.97868799217527,52.5793782488263
KT22 7NF,-0.336727,51.303317
BL1 1SJ,-2.431074,53.576514
NE48 1EQ,-2.587173,55.234454
AB11 6DR,-2.104586,57.144354
KW15 1SD,-2.971855,58.962302
OX11 0GD,-1.309099,51.580873
E1 4PU,-0.040708,51.526713
WC1b 4AD,-0.122152,51.519206
TS6 6LZ,-1.178794,54.579551
B4 6BN,-1.895521,52.483014
HU5 2QW,-0.375782830331754,53.759826414218
CV4 7JJ,-1.56352,52.385976
CH41 4PE,-3.021993,53.392688
WA10 1AP,-2.733755,53.451491
BD1 4XX,-1.752448,53.796418
DL9 3LN,-1.728784,54.370915
SP9 7QN,-1.660643,51.23735
EH12 5WT,-3.22197,55.945223
BA1 1UD,-2.36067,51.377997
BS1 6AB,-2.59336551720048,51.4534188422302
BS15 1AA,-2.50684544279476,51.459619079476
SN10 1AH,-1.992383,51.352198
SO41 9FQ,-1.53966,50.75914
FY2 0JJ,-3.03980028985507,53.8458131539855
BA20 1TG,-2.635606,50.940406
BA5 2PQ,-2.649482,51.209466
BS21 6DF,-2.84991594396552,51.4350226724138
TA1 3RL,-3.104061,51.012209
TA6 3HG,-3.00092488138138,51.1255632777778
EX32 8HD,-4.055986,51.079588
EX39 2NR,-4.208441,51.019678999999996
NE48 2HP,-2.258543,55.135931
EX1 2DA,-3.521738,50.725438
EX14 1JR,-3.19131488445378,50.814292532563
EX16 6FF,-3.48476,50.901795
PR1 1RA,-2.695832,53.759896
DD11 3SJ,-2.633846,56.585495
IV30 8XR,-3.402854,57.656094
SO43 7BH,-1.572483,50.872517
TQ1 4BP,-3.533935,50.469431
SW1H 0NB,-0.131868,51.498851
SA1 5AD,-3.943177,51.622069
SA31 1LP,-4.302353,51.856344
DL14 6RT,-1.677801,54.650229
BN11 5AJ,-0.392288,50.809718
GU1 4UL,-0.580138,51.238395
BN15 8TU,-0.333711,50.82324
DG8 0QH,-4.80852,54.881495
HU17 0JW,-0.404859,53.844173
IP30 9QR,0.898703,52.228839
N17 8JL,-0.079029,51.607453
WS10 9HN,-2.01242,52.554856
S11 8NX,-1.488032,53.371429
IV1 1SQ,-4.214841,57.486281
NN15 6XS,-0.718245,52.373837
PE3 6TL,-0.275435901337793,52.5845120183947
RM6 4NP,0.125287,51.572852
WN4 9PS,-2.632827,53.483385
UB3 5EY,-0.430185,51.481523
BS3 2NS,-2.618391,51.434728
LS22 7FD,-1.37974,53.933648
G83 8PF,-4.731562,56.153917
KY12 8LA,-3.541106,56.040462
GL12 8BQ,-2.461073,51.636205
E1 8EP,-0.0594084649766511,51.5174498432291
PH26 3JL,-3.606097,57.328597
SO15 0AJ,-1.440115,50.91389
CR9 2BJ,-0.104337254295533,51.3756640996564
B26 3QJ,-1.731063,52.451285
RM9 6RH,0.142343,51.524007
LS19 7TU,-1.660453,53.869337
SW1H 9BP,-0.131652,51.5005
B18 4AS,-1.93851,52.492487
ST14 8XR,-1.782243,52.870607
NG14 7DA,-1.038021,53.01613
WV10 7QD,-2.113013,52.647955
SE28 0FB,0.104503002320186,51.5022983758702
CV1 2GY,-1.510358,52.406121
SW1E 5LB,-0.143492,51.496778
BS34 8SR,-2.548529,51.508726
SS14 2EW,0.454793,51.572571
DD11 3SP,-2.626391,56.58264
BS8 2LG,-2.609547,51.46074
G69 8DF,-4.1016259644013,55.875170089536
HP22 5NY,-0.741994,51.77853
YO42 2NT,-0.779899,53.927553
E14 4QQ,-0.022051,51.504514
CA14 2BW,-3.549371,54.643845
TN13 2HT,0.184054871121719,51.276730132458
LS1 5ES,-1.5453,53.79679
